date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:55	75065/75065	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2023:24:53%20GMT	https://www.haplink.net/2024/04/24/first-match/	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/2024/04/24/first-match/index.html	(from https://www.haplink.net/)
18:24:55	85464/85464	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2023:24:54%20GMT	https://www.haplink.net/2024/04/20/long-day/	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/2024/04/20/long-day/index.html	(from https://www.haplink.net/)
18:24:56	23978/23978	---MC-	200	added ('OK')	application/json	date:Thu,%2006%20Feb%202025%2023:24:55%20GMT	https://www.haplink.net/wp-json/wp/v2/pages/71	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-json/wp/v2/pages/71.json	(from https://www.haplink.net/our-team/)
18:24:56	2056/2056	---MC-	200	added ('OK')	application/json	date:Thu,%2006%20Feb%202025%2023:24:55%20GMT	https://www.haplink.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.haplink.net%2Four-team%2F	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-json/oembed/1.0/embedb815.json	(from https://www.haplink.net/our-team/)
18:24:56	2216/2216	---MC-	200	added ('OK')	text/xml	date:Thu,%2006%20Feb%202025%2023:24:55%20GMT	https://www.haplink.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.haplink.net%2Four-team%2F&format=xml	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-json/oembed/1.0/embed4141	(from https://www.haplink.net/our-team/)
18:24:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20Feb%202025%2023:24:55%20GMT	https://www.haplink.net/?p=71	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/index6cf3.html	(from https://www.haplink.net/our-team/)
18:24:57	569388/569388	---M--	200	added ('OK')	image/jpeg	etag:%228b02c-60eee4ad77b46%22	https://www.haplink.net/wp-content/uploads/2024/01/StatesPicture-edited-2-scaled.jpeg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/StatesPicture-edited-2-scaled.jpg	(from https://www.haplink.net/our-team/)
18:24:57	533709/533709	---M--	200	added ('OK')	image/jpeg	etag:%22824cd-60eee5d0a7a5d%22	https://www.haplink.net/wp-content/uploads/2024/01/IMG_9524-edited-scaled.jpeg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/IMG_9524-edited-scaled.jpg	(from https://www.haplink.net/our-team/)
18:24:57	328565/328565	---M--	200	added ('OK')	image/png	etag:%2250375-60eee5683f0af%22	https://www.haplink.net/wp-content/uploads/2024/01/Screenshot-2023-11-16-at-9.31.24-AM-edited-1.png	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/Screenshot-2023-11-16-at-9.31.24-AM-edited-1.png	(from https://www.haplink.net/our-team/)
18:24:57	52125/52125	---M--	200	added ('OK')	image/jpeg	etag:%22cb9d-60f051140a429%22	https://www.haplink.net/wp-content/uploads/2024/01/IMG_7469-768x1024.jpeg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/IMG_7469-768x1024.jpg	(from https://www.haplink.net/our-team/)
18:24:57	813791/813791	---M--	200	added ('OK')	image/jpeg	etag:%22c6adf-60f075d05e963%22	https://www.haplink.net/wp-content/uploads/2024/01/Owen-edited.jpg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/Owen-edited.jpg	(from https://www.haplink.net/our-team/)
18:24:57	199055/199055	---M--	200	added ('OK')	image/png	etag:%223098f-60f0762f65baa%22	https://www.haplink.net/wp-content/uploads/2024/01/Screenshot-2024-01-15-at-10.03.54%e2%80%afPM-edited.png	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/Screenshot-2024-01-15-at-10.03.54%e2%80%afPM-edited.png	(from https://www.haplink.net/our-team/)
18:24:57	87445/87445	---M--	200	added ('OK')	image/jpeg	etag:%2215595-60eee6044704d%22	https://www.haplink.net/wp-content/uploads/2024/01/IMG_5896-edited.jpeg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/IMG_5896-edited.jpg	(from https://www.haplink.net/our-team/)
18:24:58	64256/64256	---M--	200	added ('OK')	image/jpeg	etag:%22fb00-60eee5f794e3a%22	https://www.haplink.net/wp-content/uploads/2024/01/IMG_5890-edited.jpeg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/IMG_5890-edited.jpg	(from https://www.haplink.net/our-team/)
18:24:58	513780/513780	---M--	200	added ('OK')	image/png	etag:%227d6f4-60f0526396dcc%22	https://www.haplink.net/wp-content/uploads/2024/01/Screenshot-2024-01-15-at-7.23.35%e2%80%afPM.png	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/Screenshot-2024-01-15-at-7.23.35%e2%80%afPM.png	(from https://www.haplink.net/our-team/)
18:24:58	601418/601418	---M--	200	added ('OK')	image/jpeg	etag:%2292d4a-60f07655408b9%22	https://www.haplink.net/wp-content/uploads/2024/01/Erich-Osterberg-edited-scaled.jpg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/Erich-Osterberg-edited-scaled.jpg	(from https://www.haplink.net/our-team/)
18:24:58	408533/408533	---M--	200	added ('OK')	image/jpeg	etag:%2263bd5-60f070ecdca7c%22	https://www.haplink.net/wp-content/uploads/2024/01/IMG_1109-edited-scaled.jpeg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/IMG_1109-edited-scaled.jpg	(from https://www.haplink.net/our-team/)
18:24:59	192329/192329	---M--	200	added ('OK')	image/jpeg	etag:%222ef49-60f07732e70af%22	https://www.haplink.net/wp-content/uploads/2024/01/IMG_3015-1024x768.jpg	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/IMG_3015-1024x768.jpg	(from https://www.haplink.net/our-team/)
18:24:59	3616/3616	---MC-	200	added ('OK')	application/json	date:Thu,%2006%20Feb%202025%2023:24:58%20GMT	https://www.haplink.net/wp-json/wp/v2/pages/65	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-json/wp/v2/pages/65.json	(from https://www.haplink.net/happy-haptic-doctors-robot-design/)
18:24:59	2181/2181	---MC-	200	added ('OK')	application/json	date:Thu,%2006%20Feb%202025%2023:24:59%20GMT	https://www.haplink.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.haplink.net%2Fhappy-haptic-doctors-robot-design%2F	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-json/oembed/1.0/embed4e75.json	(from https://www.haplink.net/happy-haptic-doctors-robot-design/)
18:25:00	2341/2341	---MC-	200	added ('OK')	text/xml	date:Thu,%2006%20Feb%202025%2023:24:59%20GMT	https://www.haplink.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.haplink.net%2Fhappy-haptic-doctors-robot-design%2F&format=xml	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-json/oembed/1.0/embed4e1f	(from https://www.haplink.net/happy-haptic-doctors-robot-design/)
18:25:00	27021/27021	---M--	200	added ('OK')	text/css	etag:%22698d-60efe01a7bd5e%22	https://www.haplink.net/wp-content/plugins/cool-timeline/includes/cool-timeline-block/dist/blocks.style.build.css	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/plugins/cool-timeline/includes/cool-timeline-block/dist/blocks.style.build.css	(from https://www.haplink.net/2024-worlds/)
18:25:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20Feb%202025%2023:24:59%20GMT	https://www.haplink.net/?p=65	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/index7665.html	(from https://www.haplink.net/happy-haptic-doctors-robot-design/)
18:25:00	71091/71091	---M--	200	added ('OK')	text/css	etag:%22115b3-60f05a1bade20%22	https://www.haplink.net/wp-content/plugins/countdown-block/assets/css/animate.min.css?ver=1.2.6	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/plugins/countdown-block/assets/css/animate.min578f.css	(from https://www.haplink.net/2024-worlds/)
18:25:00	262/262	---M--	200	added ('OK')	text/css	etag:%22106-60f05a1bafd61%22	https://www.haplink.net/wp-content/plugins/countdown-block/dist/style.css?ver=1.2.6	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/plugins/countdown-block/dist/style578f.css	(from https://www.haplink.net/2024-worlds/)
18:25:00	1976/1976	---M--	200	added ('OK')	text/css	etag:%227b8-61612e3736172%22	https://www.haplink.net/wp-content/uploads/eb-style/eb-style-56.min.css?ver=f2d2000e88	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/eb-style/eb-style-56.min672c.css	(from https://www.haplink.net/2024-worlds/)
18:25:01	87553/87553	---M--	200	added ('OK')	text/javascript	etag:%2215601-603fed35e19c0%22	https://www.haplink.net/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.haplink.net/2024-worlds/)
18:25:01	17011114/17011114	---M--	200	added ('OK')	video/quicktime	etag:%2210391aa-60f02dfcacab7%22	https://www.haplink.net/wp-content/uploads/2024/01/IMG_7461.mov	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/uploads/2024/01/IMG_7461.qt	(from https://www.haplink.net/our-team/)
18:25:01	13577/13577	---M--	200	added ('OK')	text/javascript	etag:%223509-5fdabee5f2100%22	https://www.haplink.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.haplink.net/2024-worlds/)
18:25:01	659/659	---M--	200	added ('OK')	text/javascript	etag:%22293-60efe01a74ffd%22	https://www.haplink.net/wp-content/plugins/cool-timeline/includes/cool-timeline-block/assets/js/common.js?ver=2.8.3	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-content/plugins/cool-timeline/includes/cool-timeline-block/assets/js/commonf7ff.js	(from https://www.haplink.net/2024-worlds/)
18:25:01	19358/19358	---MC-	200	added ('OK')	application/json	date:Thu,%2006%20Feb%202025%2023:25:01%20GMT	https://www.haplink.net/wp-json/wp/v2/pages/56	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-json/wp/v2/pages/56.json	(from https://www.haplink.net/2024-worlds/)
18:25:02	2071/2071	---MC-	200	added ('OK')	application/json	date:Thu,%2006%20Feb%202025%2023:25:01%20GMT	https://www.haplink.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.haplink.net%2F2024-worlds%2F	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-json/oembed/1.0/embedfb53.json	(from https://www.haplink.net/2024-worlds/)
18:25:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20Feb%202025%2023:25:01%20GMT	https://www.haplink.net/?p=56	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/index2dc8.html	(from https://www.haplink.net/2024-worlds/)
18:25:02	2231/2231	---MC-	200	added ('OK')	text/xml	date:Thu,%2006%20Feb%202025%2023:25:01%20GMT	https://www.haplink.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.haplink.net%2F2024-worlds%2F&format=xml	C:/FTC26532/website/FTC26532.github.io/Haplink_Backup_20250206/hapnet/www.haplink.net/wp-json/oembed/1.0/embed0fbf	(from https://www.haplink.net/2024-worlds/)
